Agency,Application name,Primary domain,Number of users,Number of licenses,Number of government support staff,Number of contractors,Start of use date,End of use date,is-custom,is-service,Manufacturer,Product/service name,Estimated replacement cost
HPW,NRSCH,Registrations and Inspections,Not reported,Not reported,Not reported,Not reported,01/07/2014 0:00,30/06/2016 0:00,No,No,New South Wales Govt.,Not reported,Not reported
HPW,Plumbing Applications System,"Authorities, Licences, Permits and Awards",Not reported,Not reported,Not reported,Not reported,01/03/2011 0:00,01/03/2016 0:00,Yes,No,DLGP,Custom,500000
HPW,Procurement CRM,Sourcing and Procurement,Not reported,Not reported,Not reported,Not reported,30/06/2014 0:00,30/06/2016 0:00,No,No,Not reported,Procurement CRM,Not reported
HPW,QTravel,Scheduling and Bookings,Not reported,Not reported,Not reported,Not reported,01/01/2008 0:00,30/06/2016 0:00,No,No,The Lido Group,Not reported,Not reported
HPW,RAPS (formerly IRM - Insite Rates Module),General Ledger,Not reported,Not reported,Not reported,Not reported,30/06/2002 0:00,01/01/2015 0:00,Yes,No,"Department of Communities, Child Safety and Disabilities",No,540700
HPW,BAS Supplier Registration,Partner Relationship Management,Not reported,Not reported,Not reported,Not reported,09/03/2012 0:00,09/03/2017 0:00,No,No,Not reported,BAS Supplier Registration,0
HPW,Vacancy Reporting System VRS,Information Provision,Not reported,Not reported,Not reported,Not reported,01/07/2010 0:00,01/07/2017 0:00,Yes,No,"Department of Communities, Child Safety and Disabilities",No,0
HPW,Vendor Panel,SUPPLY CHAIN MANAGEMENT,Not reported,Not reported,Not reported,Not reported,01/07/2014 0:00,30/06/2016 0:00,No,No,Magnetized Markets Pty Ltd,Not reported,Not reported
HPW,Zendesk,Information Provision,Not reported,Not reported,Not reported,Not reported,30/06/2014 0:00,30/06/2016 0:00,No,No,Not reported,Zendesk,Not reported
HPW,CARS+,Direction,Not reported,Not reported,Not reported,Not reported,01/01/2008 0:00,01/07/2013 0:00,No,No,Pearsons Computer Systems NSW,CARS+/Service,100000
HPW,CAS,Direction,Not reported,Not reported,Not reported,Not reported,01/01/1995 0:00,31/12/2014 0:00,Yes,No,Custom,CAS,500000
HPW,ePlanRoom and Integration Tools,Document and Records Management,Not reported,Not reported,Not reported,Not reported,01/01/2008 0:00,30/01/2010 0:00,Yes,No,Custom,ePlanRoom and Integration Tools,400000
HPW,Contract Management System (CMS),Administrative,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,30/06/2015 0:00,Yes,No,Custom,Contract Management System (CMS),14726
HPW,Microsoft CRM 1.2 GITC,Policy,1000,Not reported,Not reported,Not reported,01/01/2004 0:00,30/06/2016 0:00,No,No,Not reported,Not reported,Not reported
HPW,Disposals Management Database and Website,Artefact,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,30/06/2016 0:00,Yes,No,Not reported,Not reported,80000
HPW,Document Publisher,Process,Not reported,Not reported,Not reported,Not reported,01/01/2009 0:00,30/06/2016 0:00,Yes,No,Custom,Custom,500000
HPW,Drawing Dimensioning Tool,Administration,Not reported,Not reported,Not reported,Not reported,01/01/2003 0:00,01/07/2015 0:00,Yes,No,Custom,Custom,20000
HPW,eContract Adminstration,Standard,Not reported,Not reported,Not reported,Not reported,01/01/2005 0:00,01/07/2013 0:00,Yes,No,Custom,Custom,1966450
HPW,Ellipse,Guideline,Not reported,Not reported,Not reported,Not reported,01/01/2009 0:00,1/11/2014 0:00,Yes,No,ventyx,Ellipse,36000000
HPW,HPW Drawing Information System,Guideline,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,Yes,No,Not reported,Document management,0
HPW,HPW ePlan Room,Guideline,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,Yes,No,Not reported,Document management,0
HPW,eTender - Project Services BAS,Enterprise Asset Management,Not reported,Not reported,Not reported,Not reported,01/03/2009 0:00,01/01/2015 0:00,Yes,No,Custom,Custom,800000
HPW,FBT Simplifier 2010,Administration,Not reported,Not reported,Not reported,Not reported,01/01/2010 0:00,30/12/2012 0:00,No,No,Thomson Reuters,FBT Simplifier,25000
HPW,Fleetscape,Client Account Management,Not reported,Not reported,Not reported,Not reported,01/01/2006 0:00,31/12/2014 0:00,Yes,No,Intelligent Pathways/Qfleet,"Fleetscape, Vehicle Pooling, CFS.",3000000
HPW,Gifts Register,Financial Management,Not reported,Not reported,Not reported,Not reported,31/12/1999 0:00,01/01/2013 0:00,Yes,No,custom,Gift Register,44177
HPW,IRIS (HPW),Financial Management,Not reported,Not reported,Not reported,Not reported,01/01/2005 0:00,30/06/2015 0:00,Yes,No,ARIZ-TECH,Product,100000
HPW,Kerridge,Administration,Not reported,Not reported,Not reported,Not reported,01/01/1999 0:00,31/12/2014 0:00,Yes,No,ADP,Kerridge,6500000
HPW,Lease Info Sheets,Enterprise Asset Management,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,Yes,No,Not reported,Lease Info Sheets,0
HPW,Library Web Publisher Pro 4.1,Library Management,Not reported,Not reported,Not reported,Not reported,01/01/1999 0:00,31/05/2013 0:00,No,No,InMagic,Library Web Publisher Pro 4.1,2288
HPW,Archibus (HPW),Accountability,50,Not reported,Not reported,Not reported,01/06/2006 0:00,01/07/2011 0:00,No,No,Archibus,Archibus,500000
HPW,The Office Accommodation Program (OAP) Database,Financial Management,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,Yes,No,Not reported,The Office Accommodation Program (OAP) Database,0
HPW,OARS,Information Provision,Not reported,Not reported,Not reported,Not reported,01/01/2007 0:00,30/06/2015 0:00,No,No,Not reported,OARS,0
HPW,Online Project Search,Enterprise Asset Management,1000,Not reported,Not reported,Not reported,31/12/2003 0:00,31/07/2013 0:00,No,No,Not reported,Online Project Search,0
HPW,Online Searchable Database (web interface),Information Provision,1000,Not reported,Not reported,Not reported,01/07/2014 0:00,30/06/2016 0:00,Yes,No,Not reported,Not reported,Not reported
HPW,PFMS,Planning and Governance,Not reported,Not reported,Not reported,Not reported,1/10/2001 0:00,30/07/2013 0:00,Yes,No,Custom,Custom,69604
HPW,Place and Building Index - Project Services,Document and Records Management,Not reported,Not reported,Not reported,Not reported,01/01/2001 0:00,01/07/2013 0:00,No,No,Not reported,Place and Building Index - Project Services,0
HPW,Place and Building Index - Building and Asset Services,Document and Records Management,Not reported,Not reported,Not reported,Not reported,01/01/2003 0:00,01/07/2013 0:00,Yes,No,Custom,Product,60000
HPW,Plan Copy Request,Information Provision,Not reported,Not reported,Not reported,Not reported,01/01/2001 0:00,01/07/2015 0:00,Yes,No,Custom,Custom,10000
HPW,PQC System Database (and Training Database),Contract Management,Not reported,Not reported,Not reported,Not reported,01/01/2004 0:00,31/07/2013 0:00,Yes,No,Custom,Custom,2000000
HPW,RAMS,Risk and Issue Management,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,No,No,Not reported,RAMS,0
HPW,Project Profitability,Project Estimation,Not reported,Not reported,Not reported,Not reported,01/01/2001 0:00,01/07/2015 0:00,Yes,No,Custom,Custom,0
HPW,PSG Database,Receipting,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,No,No,Not reported,PSG Database,0
HPW,Qpulse - BAS,Design and Engineering,Not reported,Not reported,Not reported,Not reported,01/01/2001 0:00,01/07/2015 0:00,Yes,No,Gael,Custom,85000
HPW,Quality Assurance,Quality Management,501,Not reported,Not reported,Not reported,01/01/2006 0:00,30/06/2016 0:00,Yes,No,Not reported,Not reported,25000
HPW,Quote Tracking,Sourcing and Procurement,Not reported,Not reported,Not reported,Not reported,08/07/2010 0:00,08/07/2015 0:00,Yes,No,Custom,Custom,100000
HPW,Records Management,Document and Records Management,Not reported,Not reported,Not reported,Not reported,01/01/2001 0:00,01/07/2015 0:00,Yes,No,Custom,Custom,60000
HPW,SUPREM (HPW),Sourcing and Procurement,Not reported,Not reported,Not reported,Not reported,01/01/2004 0:00,01/07/2013 0:00,Yes,No,Custom,SUPREM,1000000
HPW,ACE Human Resource Mgmt  (Aurion 10),Outcome,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,31/07/2013 0:00,Yes,No,Aurion,Aurion,500000
HPW,Tenancy Management System,Enterprise Asset Management,Not reported,Not reported,Not reported,Not reported,20/06/2008 0:00,30/06/2015 0:00,Yes,No,HPW,TMS,0
HPW,RecruitASP (HPW) - SpringBoard,Recruitment,Not reported,Not reported,Not reported,Not reported,01/01/2008 0:00,30/05/2015 0:00,No,No,HRX,RecruitASP,0
HPW,TRSi - HPW,Time and Attendance,Not reported,Not reported,Not reported,Not reported,01/06/2007 0:00,30/06/2012 0:00,Yes,No,Custom,Custom,41349
HPW,Plant Database,Enterprise Asset Management,Not reported,Not reported,Not reported,Not reported,01/01/2011 0:00,01/06/2016 0:00,Yes,No,Not reported,Plant Database,40000
NPSR,Ecotrack,"Authorities, Licences, Permits and Awards",400,400,7.3,1.5,01/03/2002 0:00,31/12/2018 0:00,No,No,EHP,Ecotrack,200000
NPSR,Land Accounting Information System,Receipting,33,33,0.3,0.06,1/12/1991 0:00,1/12/2020 0:00,Yes,No,EHP,LAIS,500000
NPSR,Ministerial and Executive Correspondence System,"Executive, Management Information Systems",167,167,0.3,0.06,01/07/2002 0:00,31/12/2018 0:00,Yes,No,Bay Technologies,Mincor,60000
NPSR,ParksQ,Scheduling and Bookings,968,968,3.2,0.6,01/06/2002 0:00,01/06/2016 0:00,Yes,No,Technology One,IAParks Version 3,800000
NPSR,ParkInfo,Library Management,400,400,0.1,0.02,1/12/2002 0:00,01/06/2016 0:00,Yes,No,ESRI Australia,ArcView3,2000000
NPSR,Strategic Asset Management System,Enterprise Asset Management,320,320,0.1,0.02,01/06/2008 0:00,01/06/2016 0:00,Yes,No,In House Developed,SAMS (Strategic Asset Management System),400000
NPSR,1Contact,Employee Administration,1000,1000,0.5,1,1/12/2010 0:00,31/12/2018 0:00,Yes,No,DAF (ITP),1Contact,10000
NPSR,eDOCS,Document and Records Management,1100,1100,1,Not reported,01/01/2000 0:00,31/12/2018 0:00,No,No,Hummingbird,Hummingbird,180000
NPSR,Laboratory Information Management System - RSC,Laboratory Systems,20,20,1.4,0.3,01/01/2000 0:00,30/06/2018 0:00,Yes,No,Labware,Sample Manager,500000
NPSR,G2 Grants Administration System,"Subsidies, Grants, Benefits and Assistance",145,145,0.7,0.02,01/01/2014 0:00,01/07/2020 0:00,Yes,No,Tactiv,Enquire,200000
NPSR,Internet Queensland Academy of Sport,Laboratory Systems,1000,1000,0.1,0.02,01/01/1990 0:00,01/01/2018 0:00,No,No,Microsoft,Internet Queensland Academy of Sport,10000
NPSR,CEP; Financial Mgmt,Financial Management,1000,1000,Not reported,Not reported,01/01/2000 0:00,31/12/2018 0:00,No,No,SAP,ECC,10000
NPSR,CSP; Human Resources Mgmt/Payroll,Payroll,50,50,Not reported,Not reported,01/01/1990 0:00,01/07/2015 0:00,No,No,SAP,ERP,0
NPSR,Ranger Base,Event Management,1050,1050,1,0,01/01/2000 0:00,01/05/2017 0:00,Yes,No,ESRI Australia,ESRI Arcgis Prod,350000
NPSR,Web Services - NPSR,"Authorities, Licences, Permits and Awards",9999,9999,0.1,0.02,01/02/2012 0:00,31/12/2018 0:00,Yes,No,Reddot,Reddot,200000
NPSR,CBP; Business Warehouse,Client Account Management,50,50,Not reported,Not reported,01/01/2000 0:00,01/06/2016 0:00,No,No,SAP,ECC,0
NPSR,Employee Self Service,Employee Administration,1000,1000,Not reported,Not reported,01/01/2011 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,ESS,0
NPSR,Financial Reporter,Financial Management,50,50,Not reported,Not reported,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,Financial Reporter,0
NPSR,HRM Reporter,Employee Administration,50,50,Not reported,Not reported,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,HRM Reporter,0
NPSR,HRMS Payroll Archive,Payroll,50,50,Not reported,Not reported,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,HRMS Payroll Archive,0
NPSR,SpringBoard,Recruitment,50,50,Not reported,Not reported,06/01/2007 0:00,31/12/2018 0:00,No,No,HRX,RecruitASP/Springboard/SmartJobs Website,0
NPSR,InfoView BAM,Costing,50,50,Not reported,Not reported,01/08/2011 0:00,01/07/2017 0:00,No,No,InfoView Technologies Pty Ltd,InfoView,0
PSBA,[PSBA] ArcGIS Mobile - QFRS,Information Submission,100,2,0.25,0,04/01/2011 0:00,12/01/2016 0:00,No,No,ESRI Inc.,ESRI ArcGIS Server Mobile,275000
PSBA,[PSBA] Air Maestro,GENERIC SERVICE DELIVERY,95,95,0,0,01/08/2010 0:00,01/01/2018 0:00,Yes,No,Avinet,Web-based Software,250000
PSBA,[PSBA] FoxID,Information Provision,7,1,0,0,01/01/2004 0:00,01/08/2014 0:00,No,No,Fox Technology,FoxID32 Pro,0
PSBA,[PSBA] Caliber,Enterprise Business Intelligence,5,3,0,0,18/09/2013 0:00,18/09/2014 0:00,No,No,Micro focus,Caliber,8159
PSBA,[QFES] Event Management System (Noggin),Information Provision,6000,1,0.9,0,25/08/2014 0:00,01/08/2019 0:00,Yes,No,Noggin,OCA Incident Manager,2000000
PSBA,[DCS] ArcGIS Online - ESRI Collector,Information Submission,100,100,0.1,0,01/08/2014 0:00,01/01/2020 0:00,No,No,ESRI Inc.,ESRI Collector,80000
PSBA,[PSBA] Cardex,Information Provision,7,4,0.05,0,01/08/2014 0:00,01/08/2016 0:00,No,No,Cardex,Cardexchange Professional,0
PSBA,[QFES] QFRS e-Lodgement,Registrations and Inspections,535,0,1.5,0,01/07/2013 0:00,01/07/2023 0:00,Yes,No,QFES,QFRS e-lodgement,3000000
PSBA,[PSBA] Wildfire Alert Level (WAL) and Severe Weather Alert Level (SWAL),Information Submission,200,1,0.05,0,12/01/2011 0:00,12/01/2020 0:00,Yes,No,ESRI Inc.,ArcGIS Server,20000
PSBA,[PSBA] Situational Awareness Map (SAM),Information Provision,500,4,0.25,0,11/01/2011 0:00,12/01/2020 0:00,No,No,ESRI Inc.,ArcGIS Server,80000
PSBA,[PSBA] Fire Warden Finder (FWF),Information Provision,200,4,0.05,0,04/01/2009 0:00,01/01/2020 0:00,No,No,ESRI Inc.,ArcGIS Online,5000
PSBA,[PSBA] Public Fire Incident Website (PFIW),Information Provision,500,3,0.05,0,10/01/2011 0:00,01/06/2015 0:00,Yes,No,Google,Google API,20000
PSBA,[PSBA] Existing Human Resource Solution Lattice v2.5,Employee Administration,130,122,0,0,07/01/1995 0:00,06/01/2008 0:00,Yes,No,Talent2,Lattice,77500000
PSBA,[PSBA] Safety Health Environment (SHE) System,Case Management,11000,1,0.25,0,05/01/2008 0:00,01/01/2018 0:00,Yes,No,ComOps,Salvus (SHE),1000000
PSBA,[PSBA] Job Management System (JMS),Computer-aided Dispatch,16,0,0,0,01/01/2013 0:00,12/01/2017 0:00,Yes,No,Apollosoft,Proprietary Software,228366
PSBA,[PSBA] SAP ECC5,Case Management,1147,1147,1.1,0,03/08/2010 0:00,06/01/2017 0:00,No,No,SAP,SAP,1262000
PSBA,[PSBA] SpendVision,Payments,1200,1200,0.5,0,07/01/2002 0:00,06/01/2017 0:00,No,No,SpendVision,SpendVision,0
PSBA,[PSBA] Asset Management System,Fleet Management,332,0,0.4,0,04/01/1995 0:00,06/01/2015 0:00,Yes,No,DCS,Custom,481108
PSBA,[PSBA] Audit Issues Tracking System (AITS),"Executive, Management Information Systems",50,0,0.2,0,01/01/2006 0:00,30/06/2016 0:00,Yes,No,DCS,Custom,250000
PSBA,[PSBA] Complaints Management System (CMS),Complaints Management,10000,0,0.1,0,06/01/2015 0:00,01/02/2020 0:00,Yes,No,DCS,Custom,200000
PSBA,[PSBA] Department of Community Safety Intranet,Information Provision,10000,0,1.3,0,06/01/2003 0:00,06/01/2015 0:00,Yes,No,DCS,Custom,825000
PSBA,[PSBA] Departmental Content Management Solution,Information Submission,300,305,0.6,0,06/01/2006 0:00,06/01/2017 0:00,Yes,No,Interwoven,Teamsite,350000
PSBA,[PSBA] Departmental Volunteer Portal,Information Submission,45738,0,0.2,0,05/01/2009 0:00,01/01/2016 0:00,Yes,No,Data 3Beyond Edge,Custom,716000
PSBA,[PSBA] Ministerial Correspondence Tracking System,Document and Records Management,500,5000,0,0,06/01/2005 0:00,06/01/2015 0:00,Yes,No,Bay Technologies,Mincor,150000
PSBA,[QFES] DCS Collaborative Learning Online (CLO),Computer Based Training,300,0,0.5,0.2,12/01/2007 0:00,12/01/2016 0:00,No,No,Moodle.org,Moodle,2000
PSBA,[PSBA] Online Surveys,Analytics,25,25,0.02,0,03/01/2005 0:00,06/01/2015 0:00,No,No,Opinio,Opinio,8000
PSBA,[PSBA] WorkSpace,Knowledge Management,500,10000,0.57,0,11/01/2007 0:00,06/01/2017 0:00,Yes,No,Microsoft,SharePoint,165000
PSBA,[PSBA] ESRA,"Executive, Management Information Systems",1300,0,0.7,0,04/01/2007 0:00,30/06/2017 0:00,Yes,No,DCS,Custom,100000
PSBA,[PSBA] Emergency Information,"Executive, Management Information Systems",100,0,0.7,0,08/01/2007 0:00,30/06/2017 0:00,Yes,No,DCS,Custom,50000
PSBA,[QFES] Electronic Incident Action Plan (eIAP) ver 3.5.3,Event Management,700,0,0,0,01/01/2010 0:00,06/01/2014 0:00,Yes,No,QFRS,eIAP,1000000
PSBA,[PSBA] RecFind 6.0 (Former DES),Document and Records Management,800,91,0.2,0,01/09/2012 0:00,05/01/2017 0:00,Yes,No,Knowledgeone,Knowledgeone,117000
PSBA,[PSBA] VMware Service Manager(Formerly Infra),Customer Service,800,223,1,0,01/01/2003 0:00,01/01/2018 0:00,Yes,No,Alemba,vFire,528923
PSBA,[PSBA] improved Mapping Application for Communication Centres (iMACC),Information Provision,351,351,0,0,30/06/1994 0:00,30/06/2013 0:00,Yes,No,MapInfo,improved Mapping Application for Communication Cen,295135
PSBA,[PSBA] Electronic Practice Management System,Knowledge Management,18,20,0,0,06/01/2010 0:00,01/06/2016 0:00,Yes,No,Lexis Nexis,Visualfiles Corporate Counsel,30686
PSBA,[PSBA] SABA (DCS),Computer Based Training,10000,52000,0.2,0,09/01/2008 0:00,10/01/2015 0:00,No,No,Saba,Saba Learning,1000000
PSBA,[QFES]Disaster Management Portal,Information Submission,4000,1,0.1,0,06/01/2004 0:00,01/06/2014 0:00,Yes,No,Microsoft,SharePoint,80000
PSBA,[QFES] Community Safety Operations System (CSOS),Case Management,421,0,1.5,0,07/01/2011 0:00,06/01/2021 0:00,Yes,No,QFES,Community Safety Operations System (CSOS),7443286
PSBA,[QFES] Goldmine/Quotewerks,Client Account Management,58,20,1,0,07/01/2001 0:00,06/01/2015 0:00,No,No,Front Range,Goldmine/Quotewerks,103437
PSBA,[QFES] Corskill,Information Provision,15,10,0,0,07/01/2001 0:00,01/06/2014 0:00,No,No,Corskill,Corskill,15000
PSBA,[QFES]RFA Online,Scheduling and Bookings,1403,0,0.2,0,10/01/2009 0:00,01/06/2014 0:00,Yes,No,NSW SES,Custom,1500000
PSBA,[QFES] Centralised Operations Reporting Environment  (CORE),Analytics,100,2,1,0,07/01/2008 0:00,06/01/2020 0:00,Yes,No,QFRS,Custom,1000000
PSBA,[QFES] QFRS Operations Management System (OMS),Event Management,4618,0,7,0,11/01/2010 0:00,10/01/2020 0:00,Yes,No,PSBA - ICS,QFRS Operational Management System,15268840
PSBA,[PSBA] Total Operational Mapping (TOM2),Information Submission,1000,8,1.25,0,10/01/2011 0:00,12/01/2020 0:00,No,No,Latitude Geographics,Geocortex Essentials,150000
PSBA,[QFES] Mass Communication Tool,Information Provision,250,1,0.01,0,01/04/2013 0:00,01/04/2016 0:00,Yes,No,noggin online business applications,OCA Alerts,250000
PSBA,[QFES]SES 1232500,Scheduling and Bookings,450,0,0.1,0,1/10/2013 0:00,30/06/2014 0:00,Yes,No,Intelligent Pathways,Custom,1300000
PSBA,[PSBA] External Websites,Scheduling and Bookings,1182000,0,1.25,0,06/01/2003 0:00,01/06/2015 0:00,Yes,No,DCS,Custom,800000
PSBA,[PSBA] Aerial total Operational Mapping (A-TOM),Information Submission,100,2,0.2,0,11/01/2009 0:00,01/04/2015 0:00,Yes,No,ESRI Inc.,ESRI ArcGIS Server Mobile,50000
PSBA,[QFES] ESCAD QFES,Case Management,1450,Not reported,6,0,03/01/2008 0:00,06/01/2018 0:00,Yes,No,Tritech,VisiCad,12004472
PSBA,[PSBA] MEGA,Enterprise Asset Management,4,54,0.3,0.3,06/05/2013 0:00,06/05/2017 0:00,No,No,MEGA,MEGA HOPEX,400000
PSBA,[DCS] Mosaic,Library Management,4,9,0,0,01/01/2009 0:00,01/01/2019 0:00,No,No,Information Technology Services Perth (ITS),Mosaic Collections,10000
PSBA,[QFES] Station Turnout (STO),Information Provision,45,45,0,0,01/01/1996 0:00,1/12/2014 0:00,Yes,No,Meridian,Proprietary Software,199000
PSBA,Enterprise Architect,Enterprise Asset Management,13,13,0,0,1/12/2014 0:00,31/12/2017 0:00,No,No,Sparx Systems,Enterprise Architect,3417
PSBA,Geofeedia,Enterprise Business Intelligence,7,7,2,Not reported,30/06/2015 0:00,01/07/2016 0:00,No,No,Geofeedia,Geofeedia,40000
PSBA,Kana Insights,Enterprise Business Intelligence,5,5,1,Not reported,01/05/2015 0:00,31/10/2016 0:00,No,No,Kana/Verint,Kana Insights,50000
PSBA,PIMS,CUSTOMER RELATIONSHIP MANAGEMENT,300,300,2,Not reported,30/06/2015 0:00,31/10/2016 0:00,No,No,Kana/Verint,Kana enterprise,2000000
PSBA,[PSBA] Complaints Management System - Archived (CMS-Archived),Complaints Management,10000,0,0.1,0,06/01/2005 0:00,06/01/2015 0:00,Yes,No,DCS,Custom,200000
PSBA,[PSBA] ESRA-Corporate,"Executive, Management Information Systems",1300,0,0.7,0,01/07/2015 0:00,30/06/2020 0:00,Yes,No,DCS,Custom,100000
PSBA,INCSnap,Information Submission,1500,0,0,5,01/06/2014 0:00,31/05/2018 0:00,Yes,No,Mnet,INCSnap,150000
PSBA,[QAS] QAS Portal,Information Submission,4300,Not reported,0.35,0,19/05/2015 0:00,19/05/2020 0:00,Yes,No,Microsoft,SharePoint,100000
PSBA,[QAS] SAP,Case Management,221,221,0.25,0,03/08/2010 0:00,06/01/2016 0:00,No,No,SAP,SAP,1262000
PSBA,[QAS] Fraedom (formerly SpendVision),Payments,704,704,0.5,0,07/01/2002 0:00,06/01/2016 0:00,No,No,Fraedom,Fraedom,0
PSBA,[QAS] Qtravel,Scheduling and Bookings,1129,1129,0.25,0,Not reported,Not reported,No,No,Qtravel,Qtravel,0
PSBA,[QAS] Ambulance Information Management System (AIMS),Document and Records Management,15,1,0.1,0.1,06/01/1996 0:00,06/01/2009 0:00,Yes,No,PSBA,custom,120000
PSBA,[QAS] Clinical Audit and Reporting Tool (CART),Information Provision,3000,1,0.25,0.25,2/12/2008 0:00,01/06/2017 0:00,Yes,No,QAS/ICS,custom,264000
PSBA,[QAS] Electronic Ambulance Report Form (eARF),Case Management,3000,1,3.5,0,06/01/2006 0:00,01/01/2016 0:00,Yes,No,QAS/VACIS,VACIS,3765000
PSBA,[QAS] IROAM,Information Provision,140,1,0.5,0.5,01/06/2012 0:00,01/06/2017 0:00,Yes,No,QAS,Oracle,260000
PSBA,[QAS] QAS Data Warehouse,Information Provision,3200,1,1.5,0,06/01/2006 0:00,01/06/2017 0:00,No,No,QAS/ICS,Oracle,966023
PSBA,[QAS] Ambulance Arrivals Board (AAB),Information Provision,60,60,0,0,23/12/2010 0:00,01/01/2020 0:00,No,No,"In House, QAS",AAB,75000
PSBA,[QAS] ESCAD QAS,Case Management,1450,Not reported,4,0,03/01/2008 0:00,06/01/2018 0:00,Yes,No,Tritech,VisiCad,12004472
PSBA,[QAS] QACIR,Enterprise Business Intelligence,5,0,Not reported,Not reported,09/01/2003 0:00,06/01/2016 0:00,Yes,No,QACIR,Custom,0
PSBA,[QAS] AutoReg,Information Provision,5,2,0,0,01/02/2004 0:00,01/02/2019 0:00,No,No,Registration Solutions,AutoReg,750
PSBA,[QAS] ProQA,Computer-aided Dispatch,420,226,0.1,0,18/06/1996 0:00,06/01/2016 0:00,No,No,Priority Dispatch Corporation.,ProQA,797895
PSBA,[QAS] QAS e-Timesheet,Time and Attendance,4414,0,1,0,02/01/2006 0:00,06/01/2025 0:00,Yes,No,Custom,QAS e-Timesheet,750000
PSBA,[QAS] Graduate Paramedic Induction Program website,Information Provision,1331,0,0,0,1/10/2012 0:00,31/12/2015 0:00,No,No,WordPress / iNGENUITY,WordPress / hosting,2000
PSBA,[QAS] QAS Continuous Learning Online (QASCLO) previously QAS Collaborative Learning Online,Computer Based Training,3400,0,0.2,0,12/01/2007 0:00,30/06/2016 0:00,No,No,Moodle.org / entity data,Moodle / hosting,2000
PSBA,[QAS] QAS Volunteers (qasvolunteers.net),Document and Records Management,433,0,0,0,01/07/2014 0:00,30/06/2016 0:00,Yes,No,Entity Data,hosting,2000
PSBA,[QAS] Community Education e-Tool (CEET),Information Provision,150,1,0.01,0,01/01/2008 0:00,1/12/2020 0:00,No,No,Moodle,Community Education,3150
PSBA,[QAS] First Aid Booking Online Service,Scheduling and Bookings,95,1,0.2,0,01/02/2014 0:00,1/12/2020 0:00,Yes,No,Go Bookings,Community Education,60000
PSBA,[QAS] VetTrack,Accreditation,12,10,0.6,0,01/02/2014 0:00,1/12/2020 0:00,Yes,No,Ozsoft,Community Education,23000
PSBA,[QAS] TrooTrax,ORGANISATIONAL OPTIMISATION,22,Not reported,0,0,01/01/2012 0:00,01/03/2016 0:00,No,No,Troo,TrooTrax,Not reported
PSBA,[QAS] CARDIAC ACPHR,Enterprise Business Intelligence,1,0,Not reported,Not reported,11/01/2003 0:00,11/01/2017 0:00,Yes,No,"In House, QAS",Custom,0
PSBA,[QAS] QASii,Rostering,59,Not reported,0,0,12/01/1999 0:00,06/01/2018 0:00,Yes,No,Don't Panic Management Solutions - John Jenkins,Custom,0
PSBA,[QAS] AreaMan,Rostering,59,Not reported,0,0,12/01/1999 0:00,06/01/2018 0:00,Yes,No,Don't Panic Management Solutions - John Jenkins,Custom,0
PSBA,[QAS] Brisnet,Rostering,1200,Not reported,0,0,12/01/1999 0:00,06/01/2018 0:00,Yes,No,PSBA,Custom,0
PSBA,[QAS] Tableau,Enterprise Business Intelligence,3,3,0,0,03/06/2014 0:00,03/06/2019 0:00,No,No,Tableau Software,Tableau,0
PSBA,[QAS] PSIAM,Case Management,13,4,0,0,01/06/2009 0:00,01/06/2019 0:00,Yes,No,Priority Solutions,PSIAM,75040
PSBA,QAS Local Ambulance Committee   LAC Database,Employee Administration,20,Not reported,Not reported,0,01/07/2009 0:00,01/01/2017 0:00,Yes,No,PSBA,Not reported,Not reported
PSBA,[QAS] Advanced Quality Assurance (AQUA),Investigations Management,21,21,0,0,18/06/1996 0:00,19/07/2018 0:00,No,No,"Priority Dispatch Corporation ,139 East South  te","Priority Dispatch Corporation ,139 East South  te",0
PSBA,[QAS] Officer Dashboard,Enterprise Business Intelligence,500,0,Not reported,Not reported,3/10/2014 0:00,3/10/2019 0:00,Yes,No,"In House, QAS",Custom,0
PSBA,[QAS] Station Manager,Enterprise Business Intelligence,1,0,Not reported,Not reported,21/08/2015 0:00,21/08/2020 0:00,Yes,No,"In House, QAS",Custom,0
PSBA,[QAS] QHAT (ARTIS),Organisational Strategic Planning,6,0,Not reported,Not reported,01/07/2008 0:00,01/07/2017 0:00,Yes,No,"In House, QAS",Custom,0
PSBA,[QAS] ADAPT,Enterprise Business Intelligence,500,0,Not reported,Not reported,01/07/2015 0:00,01/07/2020 0:00,Yes,No,"In House, QAS",Custom,0
